train_loss,train_acc,train_f1,valid_loss,valid_acc,valid_f1
0.6872551888227463,0.9029979705810547,4.087893103132956e-05,0.68551238377889,0.902929941813151,0.0
0.6840736220280329,0.9030009905497233,0.0,0.6823804974555969,0.902929941813151,0.0
0.6808704286813736,0.9030009905497233,0.0,0.6790443460146586,0.902929941813151,0.0
0.6773734291394552,0.9030009905497233,0.0,0.6753700772921244,0.902929941813151,0.0
0.6734470029671987,0.9030009905497233,0.0,0.6710366408030192,0.902929941813151,0.0
0.668796569108963,0.9030009905497233,0.0,0.6660908063252767,0.902929941813151,0.0
0.6635068009297053,0.9030009905497233,0.0,0.6603434085845947,0.902929941813151,0.0
0.6572272628545761,0.9030009905497233,0.0,0.6532653371493021,0.902929941813151,0.0
0.6490353147188822,0.9030009905497233,0.0,0.6434522867202759,0.902929941813151,0.0
0.6372703661521276,0.9030009905497233,0.0,0.6289523243904114,0.902929941813151,0.0
0.619161456823349,0.9030009905497233,0.0,0.605601986249288,0.902929941813151,0.0
0.5887755850950877,0.9030009905497233,0.0,0.564826766649882,0.902929941813151,0.0
0.5351001272598902,0.9030009905497233,0.0,0.49479276935259503,0.902929941813151,0.0
0.45963842670122784,0.9030009905497233,0.0,0.42996838688850403,0.902929941813151,0.0
0.4255136251449585,0.9030009905497233,0.0,0.4196087121963501,0.902929941813151,0.0
0.41073540101448697,0.9030009905497233,0.0,0.4044633706410726,0.902929941813151,0.0
0.39793725063403446,0.9030009905497233,0.0,0.39134087165196735,0.902929941813151,0.0
0.3846827770272891,0.9030009905497233,0.0,0.3780514399210612,0.902929941813151,0.0
0.37085050841172534,0.9030009905497233,0.0,0.36344491442044574,0.902929941813151,0.0
0.35565803945064545,0.9030009905497233,0.0,0.3472769856452942,0.902929941813151,0.0
0.33858440816402435,0.9030009905497233,0.0,0.32873813311258954,0.902929941813151,0.0
0.31875156859556836,0.9030009905497233,0.0,0.30726998051007587,0.902929941813151,0.0
0.29628492146730423,0.9030009905497233,0.0,0.28395261367162067,0.902929941813151,0.0
0.27326617886622745,0.9030009905497233,0.0,0.2620897591114044,0.902929941813151,0.0
0.25396180401245755,0.9030009905497233,0.0,0.24622546633084616,0.902929941813151,0.0
0.24152125169833502,0.9030009905497233,0.0,0.23743626972039542,0.902929941813151,0.0
0.23508936911821365,0.9030009905497233,0.0,0.23287416497866312,0.902929941813151,0.0
0.23116369545459747,0.9030009905497233,0.0,0.22925316790739694,0.902929941813151,0.0
0.22761932387948036,0.9030009905497233,0.0,0.22580444316069284,0.902929941813151,0.0
0.22422960276405016,0.9030009905497233,0.0,0.22243979573249817,0.902929941813151,0.0
0.22087783614794412,0.9030009905497233,0.0,0.21905432641506195,0.902929941813151,0.0
0.21753350893656412,0.9030009905497233,0.0,0.21569464604059854,0.902929941813151,0.0
0.21421978250145912,0.9030009905497233,0.0,0.21236510078112283,0.902929941813151,0.0
0.2109296185274919,0.9030009905497233,0.0,0.2090709408124288,0.902929941813151,0.0
0.20766679694255194,0.9030009905497233,0.0,0.20578595995903015,0.902929941813151,0.0
0.20431273678938547,0.9030009905497233,0.0,0.20226712028185526,0.902929941813151,0.0
0.20057378336787224,0.9030009905497233,0.0,0.19818911949793497,0.902929941813151,0.0
0.196183563520511,0.9030003547668457,4.20206100291883e-05,0.19340984026590982,0.9029305775960287,1.2754044291796163e-05
0.19127808635433516,0.9030043284098307,0.0004527270460433404,0.18836049238840738,0.9029750823974609,0.0012531946146433863
0.18642577404777208,0.9030790328979492,0.0029054682120962147,0.18366658687591553,0.9030672709147135,0.005393733270466328
0.18219072371721268,0.9032813707987467,0.011317804805003107,0.17978773017724356,0.9035212198893229,0.021533252050479252
0.17886828382809958,0.9036156336466471,0.03400565955477456,0.176819975177447,0.9050680796305338,0.07293086498975754
0.17638459304968515,0.9044942855834961,0.08603208512067795,0.17456173400084177,0.9078998565673828,0.16117735703786215
0.1744369181493918,0.9066723187764486,0.17240467170874277,0.17270472645759583,0.9108123779296875,0.2517843743165334
0.17278488352894783,0.9093513488769531,0.25974252944191295,0.17107602457205454,0.9133872985839844,0.32640525698661804
0.17131689811746278,0.9115740458170573,0.3277282863855362,0.16957713663578033,0.9152291615804037,0.38029204805692035
0.1699496457974116,0.9133095741271973,0.37705468634764355,0.16816850006580353,0.9166069030761719,0.41896796226501465
0.16864337027072906,0.9146699905395508,0.41385435809691745,0.1668065239985784,0.9178632100423177,0.4492657979329427
0.1673723670343558,0.9157967567443848,0.4424089988072713,0.16546465456485748,0.9189605712890625,0.47437378764152527
0.16612099980314574,0.9168869654337565,0.46658332645893097,0.16414273778597513,0.9199256896972656,0.4948683977127075
